"id","examDate","examType","title","studentId","teacherId","halaqahId","startPage","endPage","startJuz","endJuz","periodStart","periodEnd","score","notes","recommendation","resultStatus","createdAt","updatedAt"
"cmng1d1ez000a2rqhajh4rfbp","2026-04-01 00:00:00","JUZ_IYYAH",,"cmnfdz2bz000y2spz5skmlcyp","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb",,,"14","14",,,"90","","CONTINUE","PASSED","2026-04-01 12:42:30.635","2026-04-01 13:22:06.163"
"cmngu1n5s00112rqh293848oc","2026-04-02 00:00:00","JUZ_IYYAH",,"cmnfdzufq00102spz6j04kr5z","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb",,,"13","13",,,"78","","CONTINUE","FAILED","2026-04-02 02:05:27.808","2026-04-02 09:32:47.361"
"cmnhgllep00002sskdhupvkvt","2026-04-02 00:00:00","JUZ_IYYAH",,"cmnfdu155000k2spzxh7znoyv","cmnf6mdt700082rtx1dccy93g","cmnf6npd6000b2rtxl2cwo2nn",,,"3","3",,,"80","","CONTINUE","PASSED","2026-04-02 12:36:50.209","2026-04-02 12:36:50.209"
"cmnhgms9300012sskuba79bi1","2026-04-02 00:00:00","JUZ_IYYAH",,"cmnfdw3j6000r2spzlx3tlh07","cmnf6mdt700082rtx1dccy93g","cmnf6npd6000b2rtxl2cwo2nn",,,"23","23",,,"90","","CONTINUE","PASSED","2026-04-02 12:37:45.735","2026-04-02 12:37:45.735"
"cmni82eze000b2sskukt3cwix","2026-04-03 00:00:00","JUZ_IYYAH",,"cmnfdxhhc000u2spzrsd4dp68","cmnf6mdt700082rtx1dccy93g","cmnf6npd6000b2rtxl2cwo2nn",,,"23","23",,,"95","","CONTINUE","PASSED","2026-04-03 01:25:44.666","2026-04-03 01:25:44.666"
"cmni8e40d000e2sskhz4ro3xj","2026-04-03 00:00:00","JUZ_IYYAH",,"cmnfdzufq00102spz6j04kr5z","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb",,,"13","13",,,"80","","CONTINUE","PASSED","2026-04-03 01:34:50.317","2026-04-03 01:40:27.119"
"cmnjh707g00012ss1f3zmwyhs","2026-04-04 00:00:00","JUZ_IYYAH",,"cmnfdyq9v000x2spzf70bsla4","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb",,,"12","12",,,"80","","CONTINUE","PASSED","2026-04-03 22:29:01.516","2026-04-03 22:29:46.417"
"cmnjhl81b00022ss101g8bnql","2026-04-03 00:00:00","WEEKLY",,"cmnfe08mk00112spznm089paw","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb",,,"14","14",,,"96","","CONTINUE","PASSED","2026-04-03 22:40:04.847","2026-04-03 22:45:10.621"
"cmnjhuuwj00032ss10cdhfwyd","2026-04-03 00:00:00","WEEKLY",,"cmnfdv508000o2spzdcuc7slj","cmnf6jn4h00042rtxaqfueo7v","cmnf6mup400092rtxz91rzfmd",,,"352","356",,,"85","","CONTINUE","PASSED","2026-04-03 22:47:34.387","2026-04-03 22:47:48.524"
"cmnjimuqh00052ss16yg42iy7","2026-04-03 00:00:00","WEEKLY",,"cmnfdvuav000q2spz042slavn","cmnf6jn4h00042rtxaqfueo7v","cmnf6mup400092rtxz91rzfmd",,,"462","471",,,"85","","CONTINUE","PASSED","2026-04-03 23:09:20.537","2026-04-03 23:09:20.537"
"cmnjizovq000b2ss1zzfy4e9l","2026-04-03 00:00:00","WEEKLY",,"cmnfdu432000l2spzwbc1p079","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi",,,"16","16",,,"90","","CONTINUE","PASSED","2026-04-03 23:19:19.478","2026-04-03 23:19:44.794"
"cmnjjet3e000d2ss1b6i4oqst","2026-04-03 00:00:00","WEEKLY",,"cmnfdxhhc000u2spzrsd4dp68","cmnf6jn4h00042rtxaqfueo7v","cmnf6mup400092rtxz91rzfmd",,,"462","467",,,"85","","CONTINUE","PASSED","2026-04-03 23:31:04.778","2026-04-03 23:31:04.778"
"cmnjjfqc0000e2ss1aw4l05vo","2026-04-03 00:00:00","WEEKLY",,"cmnfdwj0i000s2spzxarxkain","cmnf6jn4h00042rtxaqfueo7v","cmnf6mup400092rtxz91rzfmd",,,"302","315",,,"85","","CONTINUE","PASSED","2026-04-03 23:31:47.856","2026-04-03 23:31:47.856"
"cmnjjv92y000g2ss1ji5shlgx","2026-04-03 00:00:00","WEEKLY",,"cmnfdygo0000w2spzwwfjt1rc","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb",,,"7","7",,,"72","","CONTINUE","FAILED","2026-04-03 23:43:51.994","2026-04-04 00:02:51.437"
