"id","sessionDate","sessionType","studentId","teacherId","halaqahId","startPage","endPage","totalPages","score","notes","recommendation","isApprovedForNextStep","createdAt","updatedAt"
"cmnftihfs00002rqhdzdrx1je","2026-04-01 00:00:00","ZIYADAH","cmnfduhhb000m2spzo25ahi6o","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","302","309","8","95","Alhamdulillah Lancar","CONTINUE",,"2026-04-01 09:02:47.752","2026-04-01 09:02:47.752"
"cmnftkq3g00012rqhw2tm5vu4","2026-04-01 00:00:00","MURAJAAH_KUBRO","cmnfduhhb000m2spzo25ahi6o","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","202","241","40","95","Alhamdulillah lancar, ada sedikit inkosistensi pada tempo","CONTINUE",,"2026-04-01 09:04:32.284","2026-04-01 09:04:32.284"
"cmnftm2fq00022rqh4aso6k8j","2026-04-01 00:00:00","MURAJAAH_SHUGHRA","cmnfduhhb000m2spzo25ahi6o","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","282","309","28","80","Mandiri","CONTINUE",,"2026-04-01 09:05:34.934","2026-04-01 09:05:59.319"
"cmnftwhpv00032rqh97suc85a","2026-04-01 00:00:00","ZIYADAH","cmnfdtsm8000j2spzqjrqifoe","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","91","94","4","90","Lancar","CONTINUE",,"2026-04-01 09:13:41.299","2026-04-01 09:15:31.817"
"cmnftxwa900042rqhqy6nw9x6","2026-04-01 00:00:00","MURAJAAH_KUBRO","cmnfdtsm8000j2spzqjrqifoe","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","542","561","20","90","Lancar namun ada catatan pada tempo bacaan","CONTINUE",,"2026-04-01 09:14:46.833","2026-04-01 09:14:46.833"
"cmnftzrj100052rqhkfu6o2cn","2026-04-01 00:00:00","MURAJAAH_SHUGHRA","cmnfdtsm8000j2spzqjrqifoe","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","62","94","33","80","Mandiri","CONTINUE",,"2026-04-01 09:16:13.981","2026-04-01 09:17:46.341"
"cmnfuoouj00062rqh8tnwl29h","2026-03-31 00:00:00","ZIYADAH","cmnfdntzf000a2spzug6v3ly4","cmnf6mdt700082rtx1dccy93g","cmnf6npd6000b2rtxl2cwo2nn","125","127","3","90","","CONTINUE",,"2026-04-01 09:35:36.907","2026-04-01 13:02:57.925"
"cmnfur9c500072rqhaj8xqvov","2026-04-01 00:00:00","ZIYADAH","cmnfdntzf000a2spzug6v3ly4","cmnf6mdt700082rtx1dccy93g","cmnf6npd6000b2rtxl2cwo2nn","125","129","5","95","","CONTINUE",,"2026-04-01 09:37:36.773","2026-04-02 12:33:53.777"
"cmnfusg2o00082rqhj13gy1qu","2026-03-31 00:00:00","ZIYADAH","cmnfdu155000k2spzxh7znoyv","cmnf6mdt700082rtx1dccy93g","cmnf6npd6000b2rtxl2cwo2nn","58","60","3","80","","CONTINUE",,"2026-04-01 09:38:32.16","2026-04-01 13:03:16.25"
"cmnfutncb00092rqhm3nalw9c","2026-04-01 00:00:00","ZIYADAH","cmnfdu155000k2spzxh7znoyv","cmnf6mdt700082rtx1dccy93g","cmnf6npd6000b2rtxl2cwo2nn","58","61","4","90","","CONTINUE",,"2026-04-01 09:39:28.235","2026-04-02 12:34:29.15"
"cmng1gmgy000b2rqhjh4x4qyx","2026-04-01 00:00:00","ZIYADAH","cmnfdygo0000w2spzwwfjt1rc","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","128","130","3","90","Bedakan ayat 7 sama ayat 25 Qs. Al An'am","CONTINUE",,"2026-04-01 12:45:17.89","2026-04-01 12:45:17.89"
"cmng219bc000c2rqh9rmw2yb8","2026-04-01 00:00:00","ZIYADAH","cmnfdzgpz000z2spzvbugn0zz","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","302","306","5","95","","CONTINUE",,"2026-04-01 13:01:20.616","2026-04-01 13:01:20.616"
"cmng24ifp000d2rqh48kzmjay","2026-04-01 00:00:00","ZIYADAH","cmnfe0ql200122spz0b6x4067","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","302","306","5","90","Qs. Maryam 17, 24","CONTINUE",,"2026-04-01 13:03:52.405","2026-04-01 13:07:03.154"
